ITEM NO,ITEM DESCRIPTION,LOCATION,UOM,STD STOCK,LAST MONTH STOCK,ACTUAL,UNIT PRICE,AMOUNT
R8-74,Spring no 18,Rack 8,Pc,1,,,Rp -,Rp -
R8-75,Read switch,Rack 8,Pc,1,,,"Rp 113,000",Rp -
R9-1,Tali rafia,Rack 9,Pc,3,,20,"Rp 19,750","Rp 395,000"
R9-2,Kain lap,Rack 9,Kg,5,,100,"Rp 7,300","Rp 730,000"
R9-3,Sarung tangan kerja,Rack 9,Pc,10,,650,"Rp 13,100","Rp 8,515,000"
R9-4,Masker kerja,Rack 9,Pc,5,,,"Rp 5,500",Rp -
R9-5,Palu kayu,Rack 9,Pc,2,,3,"Rp 9,500","Rp 28,500"
R9-6,Selang angin Ø 6,Rack 9,Mtr,1,,5,"Rp 70,000","Rp 350,000"
R9-7,Selang angin Ø 8,Rack 9,Mtr,1,,10,"Rp 90,000","Rp 900,000"
R9-8,Selang angin Ø 10,Rack 9,Mtr,1,,10,"Rp 120,000","Rp 1,200,000"
R9-9,Selang angin Ø 12,Rack 9,Mtr,1,,10,"Rp 160,000","Rp 1,600,000"
R9-10,Selang angin Ø 4,Rack 9,Mtr,1,,5,"Rp 55,000","Rp 275,000"
R9-11,Selang timah minas 73,Rack 9,Mtr,1,,2,"Rp 75,000","Rp 150,000"
R9-12,Selang timah minas 87,Rack 9,Mtr,1,,2,"Rp 90,000","Rp 180,000"
R9-13,Selang filter auto solder,Rack 9,Mtr,1,,,"Rp 130,000",Rp -
R9-14,Selang glue coating,Rack 9,Mtr,1,,,"Rp 85,000",Rp -
R9-15,Sepatu safety no 36,Rack 9,Pc,1,,,"Rp 159,000",Rp -
R9-16,Sepatu safety no 37,Rack 9,Pc,1,,,"Rp 159,000",Rp -
R10-1,Jig inspeksi motor 5,Rack 10,Pc,1,,4,Rp -,Rp -
R10-2,Jig connector cable,Rack 10,Pc,1,,1,Rp -,Rp -
R10-3,Jig inspeksi assy,Rack 10,Pc,1,,2,Rp -,Rp -
R10-4,K3 sticker,Rack 10,Pc,1,,300,"Rp 2,500","Rp 750,000"
R10-5,Ac cord,Rack 10,Pc,1,,,"Rp 10,000",Rp -
R10-6,Musashi remote controller,Rack 10,Pc,1,,,Rp -,Rp -
R10-7,Nittoku remote controller,Rack 10,Pc,1,,,Rp -,Rp -
R10-8,Rompi K3 ( Merah ),Rack 10,Pc,1,,,"Rp 75,000",Rp -
R10-9,Battery charger,Rack 10,Pc,1,,,"Rp 120,000",Rp -
R10-10,Gun soldering station,Rack 10,Pc,1,,,"Rp 950,000",Rp -
R10-11,Gun W2028 HAKKO,Rack 10,Pc,1,,,"Rp 250,000",Rp -
R10-12,Soldering gun HAKKO 951,Rack 10,Pc,1,,,"Rp 900,000",Rp -
R10-13,Soldering station FX-600,Rack 10,Pc,1,,,"Rp 2,450,000",Rp -
R10-14,Dudukan solder gun,Rack 10,Pc,1,,,"Rp 130,000",Rp -
R10-15,HAKKO 373,Rack 10,Pc,1,,,"Rp 1,200,000",Rp -
R10-16,Gun puncher,Rack 10,Pc,1,,,"Rp 3,400,000",Rp -
R10-17,Remote AC,Rack 10,Pc,1,,,"Rp 120,000",Rp -
R10-18,Penggaris 30 cm,Rack 10,Pc,1,,1,"Rp 95,000","Rp 95,000"
R10-19,"Water pass 300mm/12""",Rack 10,Pc,1,,1,"Rp 120,000","Rp 120,000"
R10-20,Loctite,Rack 10,Pc,1,,,"Rp 145,000",Rp -
R10-21,Crimping hydrolic,Rack 10,Set,1,,,Rp -,Rp -
R10-22,Hand socket set,Rack 10,Set,1,,,Rp -,Rp -
R10-23,Packing mc KF7001,Rack 10,Pc,1,,,"Rp 230,000",Rp -
R10-24,Soldering station HAKKO FX951,Rack 10,Pc,1,,,"Rp 4,750,000",Rp -
R10-25,Fitting lampu,Rack 10,Pc,1,,,"Rp 23,000",Rp -
R10-26,Safety label,Rack 10,Pc,1,,,"Rp 13,000",Rp -
R10-27,Master lock,Rack 10,Pc,1,,,"Rp 256,000",Rp -
R10-28,Segitiga apar,Rack 10,Pc,1,,,"Rp 42,000",Rp -
R10-29,Socket 2 pin winding,Rack 10,Set,1,,,"Rp 4,500",Rp -
R10-30,Connector cable layer test,Rack 10,Pc,1,,,"Rp 45,000",Rp -
R10-31,Connector cable miliohm tester,Rack 10,Pc,1,,,"Rp 32,000",Rp -
R10-32,Lem tembak,Rack 10,Pc,1,,,"Rp 45,000",Rp -
R10-33,Ex barcode printer mc,Rack 10,Set,1,,,Rp -,Rp -
R10-34,Ex vibrator bobin mc,Rack 10,Set,1,,,Rp -,Rp -
R10-35,Helmet,Rack 10,Pc,1,,,"Rp 135,000",Rp -
R11-1,Jig pallet core 20,Rack 11,Pc,1,,,Rp -,Rp -
R11-2,Guide pallet core 20,Rack 11,Pc,2,,,Rp -,Rp -
R11-3,Jig pallet core 30,Rack 11,Pc,1,,,Rp -,Rp -
R11-4,Guide pallet core 30,Rack 11,Pc,1,,,Rp -,Rp -
R11-5,Containment timah,Rack 11,Pc,1,,,Rp -,Rp -
R11-6,Selang gas argon,Rack 11,Mtr,1,,,Rp -,Rp -
R11-7,Stopper doorcloser,Rack 11,Pc,1,,,Rp -,Rp -
R11-8,Guide core 30,Rack 11,Pc,1,,,Rp -,Rp -
R11-9,Guide core 20,Rack 11,Pc,1,,,Rp -,Rp -
R11-10,Centre guide besar,Rack 11,Pc,1,,,Rp -,Rp -
R11-11,Centre guide kecil,Rack 11,Pc,1,,,Rp -,Rp -
R11-12,Baud M3 X 8,Rack 11,Pc,1,,,Rp -,Rp -
R11-13,SSHH-SUS-M3-S,Rack 11,Pc,1,,,Rp -,Rp -
R11-14,Plate adjusment,Rack 11,Pc,1,,,Rp -,Rp -
R11-15,KQ2S06-01AS,Rack 11,Pc,1,,,Rp -,Rp -
R11-16,3G-17-44,Rack 11,Pc,1,,,Rp -,Rp -
R11-17,PL4,Rack 11,Pc,1,,,Rp -,Rp -
R11-18,Jig glue coating,Rack 11,Pc,1,,,Rp -,Rp -
R11-19,Ring,Rack 11,Pc,1,,,Rp -,Rp -
R11-20,ZSB-1001,Rack 11,Pc,1,,,Rp -,Rp -
R11-21,ZSB-1002,Rack 11,Pc,1,,,Rp -,Rp -
R11-22,ENJHYS-84-0,Rack 11,Pc,1,,,Rp -,Rp -
R11-23,SNA-186-C,Rack 11,Pc,1,,,Rp -,Rp -
R11-24,CRU,Rack 11,Pc,1,,,Rp -,Rp -
R11-25,Plat stopper stator,Rack 11,Pc,1,,,Rp -,Rp -
R11-26,Guide cleaning timah,Rack 11,Pc,1,,,Rp -,Rp -
R11-27,kabel ES2-CA15AY,Rack 11,Pc,1,,,Rp -,Rp -
R11-28,SPLS4A-100,Rack 11,Pc,1,,,Rp -,Rp -
R11-29,TWX00018,Rack 11,Pc,1,,,Rp -,Rp -
R11-30,Adjusment timah,Rack 11,Pc,1,,,Rp -,Rp -
R11-31,Selongsong selang hisap,Rack 11,Pc,1,,,Rp -,Rp -
R11-32,Centre guide welding 87,Rack 11,Pc,1,,,Rp -,Rp -
R11-33,Fuse 3A NRF210,Rack 11,Pc,1,,,Rp -,Rp -
R11-34,Plat cleaning timah,Rack 11,Pc,1,,,Rp -,Rp -
R11-35,Roller guide timah,Rack 11,Pc,1,,,Rp -,Rp -
R11-36,PIPS4-0.5-100,Rack 11,Pc,1,,,Rp -,Rp -
R11-37,KQ2L04-01AS,Rack 11,Pc,1,,,Rp -,Rp -
R11-38,KQ2S04-01AS,Rack 11,Pc,1,,,Rp -,Rp -
R11-39,Joint selang 4-4,Rack 11,Pc,1,,,Rp -,Rp -
R11-40,Centre guide welding jig,Rack 11,Pc,1,,,Rp -,Rp -
R11-41,Stopper doorcloser base,Rack 11,Pc,1,,,Rp -,Rp -
R11-42,Jig welding inner,Rack 11,Pc,1,,,Rp -,Rp -
R11-43,Jig pot ultrasonic dipping,Rack 11,Pc,1,,,Rp -,Rp -
R11-44,Selongsong welding no.4,Rack 11,Pc,1,,,Rp -,Rp -
R11-45,Selongsong welding no.5,Rack 11,Pc,1,,,Rp -,Rp -
R11-46,VAC-3002,Rack 11,Pc,1,,,Rp -,Rp -
R11-47,VAC-3003,Rack 11,Pc,1,,,Rp -,Rp -
R11-48,VAC-3004,Rack 11,Pc,1,,,Rp -,Rp -
R11-49,Selang argon welding,Rack 11,Pc,1,,,Rp -,Rp -
R11-50,Suprame Ø3.0,Rack 11,Pc,1,,,Rp -,Rp -
R11-51,PCV-12 Valve seat,Rack 11,Pc,1,,,Rp -,Rp -
R11-52,Spring for PCV-12,Rack 11,Pc,1,,,Rp -,Rp -
R11-53,Valve PCV-12,Rack 11,Pc,1,,,Rp -,Rp -
R11-54,Socket XM25-25-set,Rack 11,Pc,1,,,Rp -,Rp -
R11-55,Ring seat PCV 12-7,Rack 11,Pc,1,,,Rp -,Rp -
R11-56,Ring Ø 14,Rack 11,Pc,1,,,Rp -,Rp -
R11-57,Nepel Ø 6,Rack 11,Pc,1,,,Rp -,Rp -
R11-58,Knop 20,Rack 11,Pc,1,,,Rp -,Rp -
R11-59,Baud M4,Rack 11,Pc,1,,,Rp -,Rp -
R11-60,Nepel for tank coating,Rack 11,Pc,1,,,Rp -,Rp -
R11-61,Ring Ø 3,Rack 11,Pc,1,,,Rp -,Rp -
R11-62,Ring Ø 5,Rack 11,Pc,1,,,Rp -,Rp -
R11-63,F100 3X4 TUF 100,Rack 11,Pc,1,,,Rp -,Rp -
R11-64,Nepel selang Glue coating,Rack 11,Pc,1,,,Rp -,Rp -
R11-65,Penahan kaki-kaki mesin,Rack 11,Pc,1,,,Rp -,Rp -
R11-66,Connector cable WF 8460,Rack 11,Pc,1,,,Rp -,Rp -
R11-67,Nepel R1/4 selang 6,Rack 11,Pc,1,,,Rp -,Rp -
R11-68,Kape timah,Rack 11,Pc,1,,,Rp -,Rp -
R11-69,Ring Ø 16,Rack 11,Pc,1,,,Rp -,Rp -
R11-70,Nepel selang kuningan,Rack 11,Pc,1,,,Rp -,Rp -
R11-71,Suction,Rack 11,Pc,1,,,Rp -,Rp -
R11-72,Sylinder PCV-12,Rack 11,Pc,1,,,Rp -,Rp -
R11-73,Gelas ukur glue coating,Rack 11,Pc,1,,,Rp -,Rp -
R11-74,Pengarah timah,Rack 11,Pc,1,,,Rp -,Rp -
R11-75,Liquid gasket rubber based,Rack 11,Pc,1,,15,Rp -,Rp -
R11-76,PCV-12 SET,Rack 11,Pc,1,,,Rp -,Rp -
R11-77,Nozzle jarum green,Rack 11,Pc,1,,,Rp -,Rp -
R11-78,Nozzle jarum pink,Rack 11,Pc,1,,,Rp -,Rp -
R11-79,Nozzle jarum no. 18,Rack 11,Pc,1,,,Rp -,Rp -
R11-80,Sarung tangan anti panas,Rack 11,Set,1,,,Rp -,Rp -
R11-81,Kunci pas 58,Rack 11,Pc,1,,,Rp -,Rp -
R11-82,Kunci pas 77,Rack 11,Pc,1,,,Rp -,Rp -
R11-83,Pot ultrasonic dipping ex mc,Rack 11,Pc,1,,,Rp -,Rp -
R11-84,Shaft pengarah ultrasonic pot,Rack 11,Pc,1,,,Rp -,Rp -
R11-85,Kaca mata safety for dipping,Rack 11,Pc,1,,,Rp -,Rp -
R11-86,Water pass 150mm,Rack 11,Pc,1,,,Rp -,Rp -
R11-87,VAC-1013,Rack 11,Pc,1,,,Rp -,Rp -
R11-88,Knop glue coating,Rack 11,Pc,1,,,Rp -,Rp -
R11-89,Cleaning jig set,Rack 11,Pc,1,,,Rp -,Rp -
R11-90,Packing tube,Rack 11,Pc,1,,,Rp -,Rp -
R11-91,Timah Ø 2.0,Rack 11,Roll,1,,,Rp -,Rp -
R11-92,Ultrasonic timah batang,Rack 11,Pc,1,,,Rp -,Rp -
R12-1,Slide Regulator,Rack 12,Pc,1,,,"Rp 1,100,000",Rp -
R12-2,Dial gauge,Rack 12,Pc,1,,,"Rp 750,000",Rp -
R12-3,Thickness gauge 168-107,Rack 12,Pc,1,,,"Rp 1,320,000",Rp -
R12-4,Depth micrometer,Rack 12,Pc,1,,,"Rp 2,310,000",Rp -
R12-5,Digital caliper,Rack 12,Pc,1,,,"Rp 1,750,000",Rp -
R12-6,TAB Digital watt meter,Rack 12,Pc,1,,,"Rp 450,000",Rp -
R12-7,Dual channel sensor amplifier,Rack 12,Pc,1,,,"Rp 321,000",Rp -
R12-8,Thermometer Hakko FG-100,Rack 12,Pc,1,,,"Rp 845,000",Rp -
R12-9,Digital multimeter,Rack 12,Pc,1,,,"Rp 850,000",Rp -
R12-10,Multitester analog,Rack 12,Pc,1,,,"Rp 450,000",Rp -
R13-1,Dioda bridge,Rack 13,Pc,1,,4,"Rp 170,000","Rp 680,000"
R13-2,Kabel pelangi,Rack 13,Mtr,1,,,"Rp 115,000",Rp -
R13-3,Battery LR44,Rack 13,Pc,1,,5,"Rp 25,000","Rp 125,000"
R13-4,Fuse 5A 3cm,Rack 13,Pc,1,,49,"Rp 1,200","Rp 58,800"
R13-5,Fuse 25A 2cm,Rack 13,Pc,1,,22,"Rp 12,000","Rp 264,000"
R13-6,Fuse 1A 3cm,Rack 13,Pc,1,,39,Rp 750,"Rp 29,250"
R13-7,Switch power ukuran besar,Rack 13,Pc,1,,1,"Rp 45,000","Rp 45,000"
R13-8,Transistor IRF 740,Rack 13,Pc,1,,5,"Rp 47,800","Rp 239,000"
R13-9,Potensiometer 250KΩ,Rack 13,Pc,1,,25,"Rp 70,000","Rp 1,750,000"
R13-10,Fuse 5A 2cm,Rack 13,Pc,1,,81,"Rp 1,100","Rp 89,100"
R13-11,Fuse 3A 3cm,Rack 13,Pc,1,,27,Rp 950,"Rp 25,650"
R13-12,Fuse 3A 2cm,Rack 13,Pc,1,,60,Rp 870,"Rp 52,200"
R13-13,Fuse 2A 3cm,Rack 13,Pc,1,,6,Rp 800,"Rp 4,800"
R13-14,Socket 6 pin,Rack 13,Pc,1,,2,"Rp 13,500","Rp 27,000"
R13-15,Potensiometer 100kΩ,Rack 13,Pc,1,,,"Rp 65,000",Rp -
R13-16,Male connector RS232,Rack 13,Pc,1,,6,"Rp 98,000","Rp 588,000"
R13-17,Battery CR 2032,Rack 13,Pc,1,,8,"Rp 45,000","Rp 360,000"
R13-18,Bidioda,Rack 13,Pc,1,,,"Rp 65,400",Rp -
R13-19,Trimpot 100kΩ,Rack 13,Pc,1,,4,"Rp 120,000","Rp 480,000"
R13-20,Socket 3 pin,Rack 13,Pc,1,,2,"Rp 9,500","Rp 19,000"
R13-21,Potensiometer 10kΩ,Rack 13,Pc,1,,,"Rp 25,000",Rp -
R13-22,Knop potensiometer,Rack 13,Pc,1,,,"Rp 13,600",Rp -
R13-23,SCR BCR 5PM,Rack 13,Pc,1,,,"Rp 45,000",Rp -
R13-24,Trimpot 10kΩ,Rack 13,Pc,1,,,"Rp 36,000",Rp -
R13-25,Resistor 1MΩ 2W,Rack 13,Pc,1,,,"Rp 70,000",Rp -
R13-26,Dioda 10A,Rack 13,Pc,1,,,"Rp 4,600",Rp -
R13-27,Transistor TIP122,Rack 13,Pc,1,,,"Rp 35,000",Rp -
R13-28,Transistor K3679,Rack 13,Pc,1,,,"Rp 34,500",Rp -
R13-29,SCR 10 A,Rack 13,Pc,1,,,"Rp 68,900",Rp -
R13-30,Resistor 330kΩ 5W,Rack 13,Pc,1,,,"Rp 49,000",Rp -
R13-31,Tapping M10X1.25,Rack 13,Pc,1,,1,"Rp 647,500","Rp 647,500"
R13-32,Tapping M10X1.5,Rack 13,Pc,1,,,"Rp 675,000",Rp -
R13-33,Keramik box bobin winding asean,Rack 13,Pc,1,,9,"Rp 13,000","Rp 117,000"
R13-34,RJ 45,Rack 13,Pc,1,,,"Rp 45,000",Rp -
R13-35,Karbon driver electric,Rack 13,Pc,1,,16,"Rp 65,000","Rp 1,040,000"
R13-36,Socket remote WI tester,Rack 13,Pc,1,,,"Rp 13,600",Rp -
R13-37,Bit shock no 7,Rack 13,Pc,1,,1,"Rp 146,000","Rp 146,000"
R13-38,Lampu 30V,Rack 13,Pc,1,,10,"Rp 25,000","Rp 250,000"
R13-39,Capasitor 5 ƲF,Rack 13,Pc,1,,2,"Rp 14,500","Rp 29,000"
R13-40,Rotor bit driver,Rack 13,Pc,1,,,"Rp 96,000",Rp -
R13-41,Extention AC cord,Rack 13,Pc,1,,,"Rp 65,000",Rp -
R13-42,Switch power kecil,Rack 13,Pc,1,,2,"Rp 23,600","Rp 47,200"
R13-43,Fuse 13A 2cm,Rack 13,Pc,1,,4,"Rp 10,500","Rp 42,000"
R13-44,Lampu 18V,Rack 13,Pc,1,,55,"Rp 156,000","Rp 8,580,000"
R13-45,Bit shock 3B1205,Rack 13,Pc,1,,2,"Rp 136,900","Rp 273,800"
R13-46,Lampu uji,Rack 13,Pc,1,,0,"Rp 47,800",Rp -
R13-47,Baud L tanam M6,Rack 13,Pc,1,,8,"Rp 6,500","Rp 52,000"
R13-48,Bit shock 10mm,Rack 13,Pc,1,,2,"Rp 190,000","Rp 380,000"
R13-49,Opto coupler,Rack 13,Pc,1,,,"Rp 123,500",Rp -
R13-50,Socket 3 pin winding,Rack 13,Pc,1,,85,"Rp 46,000","Rp 3,910,000"
R13-51,Capasitor 1 ƲF 1000WVAC,Rack 13,Pc,1,,1,"Rp 75,000","Rp 75,000"
R13-52,Srew wings M5,Rack 13,Pc,1,,86,"Rp 47,800","Rp 4,110,800"
R13-53,Lampu 240V ( Tower light ),Rack 13,Pc,1,,6,"Rp 27,500","Rp 165,000"
R13-54,Jig riveting,Rack 13,Pc,1,,5,"Rp 225,000","Rp 1,125,000"
R13-55,Baud kepala kunci,Rack 13,Pc,1,,2,"Rp 36,000","Rp 72,000"
R13-56,Selector On/Off lampu,Rack 13,Pc,1,,2,"Rp 35,000","Rp 70,000"
R13-57,Socket 4 pin,Rack 13,Pc,1,,2,"Rp 26,000","Rp 52,000"
R13-58,Socket 2 pin,Rack 13,Pc,1,,85,"Rp 19,000","Rp 1,615,000"
R13-59,Capasitor 4 ƲF,Rack 13,Pc,1,,1,"Rp 94,000","Rp 94,000"
R13-60,Socket 4 pin winding,Rack 13,Pc,1,,91,"Rp 35,000","Rp 3,185,000"
R14-1,TNGG160408R-P,Rack 14,Pack,1,,2,"Rp 690,000","Rp 1,380,000"
R14-2,QM3DCGT11T302MFNAZ7,Rack 14,Pack,1,,7,"Rp 1,500,000","Rp 10,500,000"
R14-3,QM3TBP60FR10,Rack 14,Pack,1,,15,"Rp 2,600,000","Rp 39,000,000"
R14-4,QM3CTPX20FRN,Rack 14,Pack,1,,6,"Rp 2,200,000","Rp 13,200,000"
R14-5,QM3GTMX32095RT,Rack 14,Pack,1,,7,"Rp 2,200,000","Rp 15,400,000"
R14-6,QM3GTMX32250RT,Rack 14,Pack,1,,9,"Rp 2,200,000","Rp 19,800,000"
R14-7,QM3GTMX32095LT,Rack 14,Pack,1,,9,"Rp 2,400,000","Rp 21,600,000"
R14-8,LRIS-4*10PW,Rack 14,Pack,1,,,Rp -,Rp -
R14-9,Guide bush collet chuck CC0261SR,Rack 14,Pc,1,,,"Rp 1,450,000",Rp -
R14-10,DT4CTPX20FRN,Rack 14,Pc,1,,9,"Rp 75,000","Rp 675,000"
R14-11,TBPR10,Rack 14,Pc,1,,6,"Rp 1,100,000","Rp 6,600,000"
R14-12,GTTR10K00,Rack 14,Pc,1,,2,"Rp 950,000","Rp 1,900,000"
R14-13,CTPR10,Rack 14,Pc,1,,3,"Rp 1,300,000","Rp 3,900,000"
R14-14,SNMG120408,Rack 14,Pack,1,,4,"Rp 590,000","Rp 2,360,000"
R14-15,TKFS12R200-5,Rack 14,Pack,1,,14,"Rp 2,840,000","Rp 39,760,000"
R14-16,TNMG160408N-GE,Rack 14,Pack,1,,3,"Rp 602,640","Rp 1,807,920"
R14-17,TNMG160408-EF,Rack 14,Pack,1,,0,"Rp 750,000",Rp -
R14-18,SNMG090308,Rack 14,Pack,1,,4,"Rp 610,000","Rp 2,440,000"
R14-19,Bushing proj welding,Rack 14,Pc,1,,4,"Rp 750,000","Rp 3,000,000"
R14-20,Jig rolling carbide flate R2,Rack 14,Pc,1,,2,"Rp 3,000,000","Rp 6,000,000"
R14-21,GPEDM#600,Rack 14,Pc,1,,,Rp -,Rp -
R14-22,Guide bush collet chuck CG0660WR,Rack 14,Pc,1,,,"Rp 1,150,000",Rp -
R14-23,Blade 60X53,Rack 14,Pc,1,,,Rp -,Rp -
R14-24,PSDNN1616H-09,Rack 14,Pc,1,,,Rp -,Rp -
R14-25,ETENN1616H1604,Rack 14,Pc,1,,1,"Rp 1,300,000","Rp 1,300,000"
R14-26,ETANR1616H1604,Rack 14,Pc,1,,1,"Rp 1,350,000","Rp 1,350,000"
R14-27,EX-SUS-GDS3.1,Rack 14,Pc,1,,96,"Rp 125,000","Rp 12,000,000"
R14-28,TIN-NC-LDS 4X90,Rack 14,Pc,1,,,Rp -,Rp -
R14-29,KTKFSR1010K-12A,Rack 14,Pc,1,,,"Rp 1,400,000",Rp -
R14-30,Baud pin kuningan,Rack 14,Pc,1,,,Rp -,Rp -
R14-31,Guide bosh NC,Rack 14,Pc,1,,,Rp -,Rp -
R14-32,A16U9120Z,Rack 14,Pc,1,,,Rp -,Rp -
R14-33,Chuck rotor cutting,Rack 14,Pc,1,,,Rp -,Rp -
R14-34,Mur NC,Rack 14,Pc,1,,,Rp -,Rp -
R14-35,Baud stopper,Rack 14,Pc,1,,,Rp -,Rp -
R14-36,Baud guide,Rack 14,Pc,1,,,Rp -,Rp -
R14-37,Block rear NC,Rack 14,Pc,1,,,Rp -,Rp -
R14-38,HDS5506,Rack 14,Pc,1,,,Rp -,Rp -
R14-39,Gear borring MC,Rack 14,Pc,1,,,Rp -,Rp -
R14-40,Guide position borring MC,Rack 14,Pc,1,,,Rp -,Rp -
R14-41,10X40X50X90 2851009 DPT,Rack 14,Pc,1,,2,"Rp 600,000","Rp 1,200,000"
R14-42,Screw cutting tools,Rack 14,Pc,1,,,Rp -,Rp -
R14-43,Wrench-CLR-15S,Rack 14,Pc,1,,,Rp -,Rp -
R14-44,ASSAB 17,Rack 14,Pc,1,,,"Rp 220,000",Rp -
R14-45,Bohler super MO rapid extra 1200,Rack 14,Pc,1,,,Rp -,Rp -
R14-46,Shaft pendorong bearing jig press bearing,Rack 14,Pc,1,,,Rp -,Rp -
R14-47,Jig press caulking upper lower,Rack 14,Pc,1,,,Rp -,Rp -
R14-48,Pisau blade ( diamond dresser ),Rack 14,Pc,1,,4,"Rp 1,100,000","Rp 4,400,000"
R14-49,CD-Q 1.5x90x5,Rack 14,Pc,1,,147,"Rp 165,000","Rp 24,255,000"
R14-50,TTPR10,Rack 14,Pc,1,,4,"Rp 1,500,000","Rp 6,000,000"
R14-51,SCHR-10,Rack 14,Pc,1,,3,"Rp 1,500,000","Rp 4,500,000"
R14-52,SCIR 22-MTR010 IC1007,Rack 14,Pack,1,,6,"Rp 294,000","Rp 1,764,000"
R14-53,SCIR 22-200NP05 IC1007,Rack 14,Pack,1,,19,"Rp 250,000","Rp 4,750,000"
R14-54,Collet Ø8.1,Rack 14,Pc,1,,13,"Rp 350,000","Rp 4,550,000"
